DTXSID,very_toxic,nontoxic,LD50_mgkg,EPA_category,GHS_category,casrn,mol_weight,LD50_LM
DTXSID00162834,TRUE,FALSE,50,1,2,14489-75-9,171.2429962,0.534642814
DTXSID00162935,FALSE,FALSE,780,3,4,14520-53-7,177.2030029,-0.643623525
DTXSID00163280,FALSE,TRUE,3400,3,5,14617-95-9,194.2299957,-1.243162616
DTXSID00163427,TRUE,FALSE,33,1,2,14663-71-9,372.1300049,1.052180749
DTXSID00164257,FALSE,TRUE,15000,4,5,14938-42-2,444.5100098,-1.528209714
DTXSID00165461,FALSE,FALSE,900,3,4,15386-51-3,291.8200073,-0.489127445
DTXSID00165623,FALSE,TRUE,2500,3,5,15440-48-9,457.3599854,-0.737681843
DTXSID00165860,FALSE,TRUE,4920,3,5,15523-43-0,218.3370056,-1.352837753
DTXSID00165901,FALSE,TRUE,4000,3,5,15545-42-3,436.9500122,-0.961628236
DTXSID00166655,FALSE,FALSE,75,2,3,15942-48-0,255.7400055,0.532737407
DTXSID00166771,FALSE,FALSE,1200,3,4,15992-13-9,337.769989,-0.550560186
DTXSID00166796,FALSE,TRUE,3000,3,5,16006-75-0,516.5499878,-0.764008899
DTXSID00167142,FALSE,FALSE,200,2,3,1614-30-8,302.4100037,0.179566158
DTXSID00168235,FALSE,TRUE,24500,4,5,16715-77-8,204.1809998,-2.079150758
DTXSID00170151,FALSE,FALSE,763,3,4,17654-88-5,226.3300018,-0.527782411
DTXSID00171885,FALSE,TRUE,4617,3,5,18636-88-9,262.2680054,-1.245614561
DTXSID00172079,FALSE,TRUE,6500,4,5,18773-63-2,228.246994,-1.45450829
DTXSID00172231,FALSE,FALSE,150,2,3,1886-01-7,273.4899902,0.260850177
DTXSID00172493,FALSE,FALSE,69,2,3,19016-29-6,264.2200012,0.583116599
DTXSID00172771,FALSE,FALSE,225,2,3,19213-12-8,205.3009949,-0.039791464
DTXSID00172998,FALSE,FALSE,100,2,3,19386-45-9,406.8900146,0.609477032
DTXSID00173541,FALSE,FALSE,1200,3,4,1982-42-9,220.0500031,-0.736659867
DTXSID00176097,TRUE,FALSE,16,1,2,21709-44-4,269.3800049,1.226245374
DTXSID00176532,TRUE,FALSE,4.6,1,1,22052-04-6,117.1699982,1.406058591
DTXSID00176754,FALSE,FALSE,787,3,4,22204-87-1,350.3299866,-0.35149742
DTXSID00177084,TRUE,FALSE,24,1,2,2255-17-6,261.1700134,1.03671207
DTXSID00177261,FALSE,FALSE,1470,3,4,22729-74-4,421.5299988,-0.542488848
DTXSID00177504,FALSE,FALSE,120,2,3,22958-08-3,326.3999939,0.434568896
DTXSID00177766,FALSE,FALSE,1225,3,4,23191-75-5,397.3940125,-0.488914769
DTXSID00177807,FALSE,TRUE,3000,3,5,23233-88-7,463.5700073,-0.811005925
DTXSID00177983,TRUE,FALSE,9.1,1,2,2343-36-4,168.1710052,1.266709728
DTXSID00178137,TRUE,FALSE,3.334,1,1,2355-43-3,258.098999,1.888820725
DTXSID00178778,FALSE,FALSE,400,2,4,24031-96-7,220.3099976,-0.259025786
DTXSID00178819,FALSE,FALSE,414,2,4,24095-80-5,317.25,-0.11559871
DTXSID00179048,FALSE,FALSE,825,3,4,2431-96-1,191.2740021,-0.634798004
DTXSID00179381,FALSE,FALSE,960,3,4,24632-48-2,368.2200012,-0.416163858
DTXSID00180013,FALSE,FALSE,853,3,4,25369-84-0,233.3300018,-0.562978447
DTXSID00180194,FALSE,FALSE,1000,3,4,25505-97-9,179.1790009,-0.746712889
DTXSID00180199,FALSE,FALSE,1000,3,4,25506-06-3,213.1959991,-0.67122095
DTXSID00180412,FALSE,FALSE,350,2,4,25726-97-0,217.4900055,-0.20662874
DTXSID00180497,FALSE,TRUE,5700,4,5,25841-43-4,166.1900024,-1.535269961
DTXSID00180654,FALSE,FALSE,1540,3,4,25991-93-9,257.5899963,-0.776591728
DTXSID00180795,FALSE,FALSE,750,3,4,2617-79-0,155.5800018,-0.683107491
DTXSID00181080,FALSE,TRUE,2020,3,5,26485-82-5,306.3649902,-0.819112235
DTXSID00181762,FALSE,TRUE,4050,3,5,27318-86-1,198.2180023,-1.310311928
DTXSID00182219,FALSE,FALSE,230,2,3,27945-43-3,280.3269959,0.085937087
DTXSID00182633,FALSE,TRUE,38300,4,5,2842-38-8,143.2299957,-2.427164795
DTXSID00182779,FALSE,TRUE,2001,3,5,28570-58-3,400.4779968,-0.698668429
DTXSID00184016,FALSE,FALSE,375,2,4,2990-22-9,415.9400024,0.044999422
DTXSID00184172,FALSE,TRUE,2280,3,5,30086-84-1,297.3540039,-0.884661056
DTXSID00184293,FALSE,FALSE,320,2,4,302-41-0,430.5960083,0.128920021
DTXSID00184657,FALSE,FALSE,1330,3,4,30578-37-1,313.3299866,-0.627849681
DTXSID00185129,TRUE,FALSE,28,1,2,312-73-2,186.1369934,0.822674663
DTXSID00186010,FALSE,FALSE,1300,3,4,3226-32-2,178.2749939,-0.862852922
DTXSID00186434,FALSE,TRUE,4000,3,5,32773-96-9,245.2779999,-1.212401395
DTXSID00186994,FALSE,FALSE,670,3,4,3337-87-9,216.2879944,-0.491042389
DTXSID00188014,FALSE,FALSE,930,3,4,34443-04-4,163.1759949,-0.755826679
DTXSID00188534,FALSE,TRUE,5001,4,5,350-57-2,194.1289978,-1.410966442
DTXSID00189581,TRUE,FALSE,4.768,1,1,36014-72-9,396.5899963,1.920005509
DTXSID00189844,FALSE,FALSE,250,2,3,363-97-3,331.2000122,0.122150335
DTXSID00189869,FALSE,FALSE,300,2,4,36329-36-9,281.2720032,-0.027994749
DTXSID00190071,FALSE,FALSE,789,3,4,36576-44-0,241.2510071,-0.514607868
DTXSID00190172,FALSE,FALSE,67,2,3,3671-66-7,201.1519928,0.477449537
DTXSID00190359,FALSE,FALSE,1600,3,4,3688-65-1,315.368988,-0.705300998
DTXSID00190410,FALSE,FALSE,1040,3,4,3692-18-0,156.2290039,-0.823271676
DTXSID00190455,TRUE,FALSE,15,1,2,3696-23-9,186.6600037,1.094960011
DTXSID00190793,FALSE,FALSE,450,2,4,1/1/35,261.2799988,-0.236106348
DTXSID00190879,FALSE,FALSE,125,2,3,37430-50-5,370.6700134,0.472077441
DTXSID00191240,FALSE,FALSE,395,2,4,37795-69-0,188.1860046,-0.322009774
DTXSID00191583,TRUE,FALSE,42.9,1,2,3820-53-9,263.2000122,0.787828613
DTXSID00192277,FALSE,FALSE,1740,3,4,3900-31-0,302.730011,-0.759493772
DTXSID00192595,FALSE,FALSE,500,2,4,3942-71-0,207.272995,-0.382427282
DTXSID00192717,TRUE,FALSE,6.35,1,2,39603-48-0,194.2799988,1.485654367
DTXSID00193360,TRUE,FALSE,46,1,2,40373-31-7,251.2819977,0.737403544
DTXSID00193628,FALSE,FALSE,200,2,3,4062-99-1,207.2290039,0.015420544
DTXSID00194514,FALSE,FALSE,1000,3,4,41716-93-2,446.9299927,-0.3497605
DTXSID00194675,FALSE,TRUE,8000,4,5,41905-79-7,306.3609924,-1.416856519
DTXSID00195107,TRUE,FALSE,2.61,1,1,4228-89-1,255.0200043,1.989933741
DTXSID00195682,FALSE,TRUE,2940,3,5,43087-91-8,226.3000031,-1.113662771
DTXSID00196013,FALSE,FALSE,900,3,4,440-60-8,198.0919952,-0.657375583
DTXSID00197080,FALSE,TRUE,8837,4,5,4727-29-1,241.2460022,-1.56384473
DTXSID00197126,FALSE,FALSE,712,3,4,11/8/40,177.3200073,-0.603722253
DTXSID00198451,FALSE,FALSE,1950,3,4,504-90-5,184.3099976,-1.024485718
DTXSID00198714,TRUE,FALSE,25,1,2,50673-11-5,398.2999878,1.202270284
DTXSID00198931,FALSE,FALSE,74,2,3,5090-37-9,266.7900085,0.556937841
DTXSID00199069,FALSE,TRUE,2040,3,5,51068-60-1,250.3099976,-0.911151971
DTXSID00199362,FALSE,FALSE,555,3,4,51356-15-1,370.4200134,-0.17559854
DTXSID00199367,FALSE,FALSE,65,2,3,51356-20-8,314.7399902,0.68503857
DTXSID00199488,FALSE,TRUE,2300,3,5,51505-90-9,209.2929993,-1.040973134
DTXSID00199726,FALSE,FALSE,833,3,4,51799-29-2,355.3510132,-0.369987443
DTXSID0020020,FALSE,TRUE,14800,4,5,18699-02-0,193.2019959,-1.884250107
DTXSID0020022,FALSE,FALSE,1370,3,4,50594-66-6,361.6600037,-0.578420085
DTXSID00200321,FALSE,FALSE,322,2,4,523-50-2,186.1660004,-0.237955503
DTXSID00200447,FALSE,FALSE,1840,3,4,52447-11-7,323.8200073,-0.754514145
DTXSID00200629,FALSE,FALSE,1190,3,4,5266-97-7,217.223999,-0.738639157
DTXSID00200700,FALSE,TRUE,4500,3,5,52723-84-9,275.730011,-1.212728476
DTXSID0020076,FALSE,FALSE,1100,3,4,61-82-5,84.08200073,-1.116689648
DTXSID00200866,FALSE,FALSE,700,3,4,5285-41-6,204.0099945,-0.535446596
DTXSID0020151,FALSE,TRUE,2490,3,5,140-11-4,150.177002,-1.219595917
DTXSID0020153,FALSE,FALSE,440,2,4,100-44-7,126.5800018,-0.541087579
DTXSID00201616,FALSE,FALSE,550,3,4,5345-54-0,157.6000061,-0.54280646
DTXSID00201858,TRUE,FALSE,8.471,1,2,53615-23-9,378.3699951,1.649982008
DTXSID00202128,FALSE,FALSE,1224,3,4,53874-66-1,218.6799927,-0.747972367
DTXSID0020232,FALSE,FALSE,192,2,3,58-08-2,194.1940002,0.004934579
DTXSID0020238,FALSE,TRUE,3000,3,5,59721-29-8,494.519989,-0.782937404
DTXSID0020280,FALSE,FALSE,251,2,3,88-73-3,157.5500031,-0.202255306
DTXSID0020286,FALSE,FALSE,302,2,4,95-74-9,141.6000061,-0.328943671
DTXSID0020311,FALSE,FALSE,1053,3,4,150-68-5,198.6499939,-0.724339815
DTXSID0020315,TRUE,FALSE,37.5,1,2,76-06-2,164.3699951,0.641791275
DTXSID0020319,FALSE,FALSE,242,2,3,1897-45-6,265.8999939,0.040902961
DTXSID0020361,FALSE,FALSE,720,3,4,4998-76-9,135.6399994,-0.724944717
DTXSID0020365,FALSE,FALSE,1480,3,4,59865-13-3,1202.63501,-0.090127873
DTXSID0020369,FALSE,TRUE,2147,3,5,3/4/42,182.1869965,-1.071314668
DTXSID00204021,FALSE,TRUE,8500,4,5,55458-76-9,242.2779999,-1.545104946
DTXSID00204329,FALSE,FALSE,1500,3,4,55769-64-7,693.6599731,-0.334944624
DTXSID0020440,FALSE,FALSE,344,2,4,120-36-5,235.0599976,-0.165379715
DTXSID0020442,FALSE,FALSE,370,2,4,94-75-7,221.0299988,-0.223750503
DTXSID0020446,FALSE,FALSE,437,2,4,330-54-1,233.0899963,-0.272957802
DTXSID0020448,FALSE,FALSE,1947,3,4,78-87-5,112.9800034,-1.236364368
DTXSID00204561,FALSE,FALSE,470,2,4,55994-28-0,291.1300049,-0.20801089
DTXSID00204642,FALSE,FALSE,500,2,4,561-41-1,375.5159912,-0.124341568
DTXSID0020490,FALSE,FALSE,220,2,3,13265-60-6,243.2799988,0.043683724
DTXSID0020494,FALSE,TRUE,8210,4,5,756-79-6,124.0759964,-1.820655386
DTXSID0020498,FALSE,TRUE,4390,3,5,120-61-6,194.1860046,-1.354246594
DTXSID00205098,TRUE,FALSE,25,1,2,56538-00-2,230.6499939,0.965013439
DTXSID0020523,TRUE,FALSE,30,1,2,51-28-5,184.1069946,0.787949034
DTXSID0020527,FALSE,FALSE,160,2,3,140-79-4,144.1340027,-0.045353535
DTXSID0020529,FALSE,FALSE,269,2,3,121-14-2,182.1349945,-0.169358883
DTXSID00205573,FALSE,TRUE,2100,3,5,56973-16-1,340.1900024,-0.790497748
DTXSID0020575,FALSE,FALSE,1230,3,4,140-67-0,148.2050018,-0.91904225
DTXSID0020577,FALSE,FALSE,1320,3,4,536-33-4,166.2400055,-0.899838387
DTXSID00205816,FALSE,TRUE,2001,3,5,57165-58-9,276.243988,-0.859954253
DTXSID0020600,FALSE,FALSE,72,2,3,75-21-8,44.0530014,-0.213356993
DTXSID0020604,FALSE,TRUE,2130,3,5,106-87-6,140.1820068,-1.18168733
DTXSID0020606,FALSE,TRUE,7350,4,5,103-23-1,370.5740051,-1.297412388
DTXSID0020652,FALSE,FALSE,479,2,4,25812-30-0,250.3379974,-0.28180874
DTXSID0020654,FALSE,TRUE,6330,4,5,105-87-3,196.2899933,-1.50850555
DTXSID0020656,FALSE,TRUE,6300,4,5,77-06-5,346.3789978,-1.259788998
DTXSID00206560,FALSE,FALSE,208,2,3,57846-35-2,471.8900146,0.355777453
DTXSID00206606,FALSE,FALSE,150,2,3,57897-49-1,492.0599976,0.515926801
DTXSID0020737,FALSE,FALSE,1000,3,4,120-72-9,117.151001,-0.931253996
DTXSID00207552,FALSE,FALSE,689,3,4,5882-48-4,173.6399994,-0.598569446
DTXSID0020781,FALSE,FALSE,70,2,3,21498-08-8,295.5899963,0.625591692
DTXSID0020810,FALSE,FALSE,277,2,3,50-44-2,152.1799927,-0.26012221
DTXSID0020818,FALSE,FALSE,200,2,3,135-23-9,297.8500061,0.172967618
DTXSID00208327,FALSE,FALSE,215,2,3,5965-49-1,283.7999878,0.120573913
DTXSID0020864,FALSE,TRUE,2926,3,5,75011-65-3,343.8500061,-0.929905285
DTXSID0020868,FALSE,FALSE,1503,3,4,75-09-2,84.93000031,-1.247897855
DTXSID00208988,TRUE,FALSE,2.5,1,1,60244-60-2,308.2900085,2.091019441
DTXSID0020943,FALSE,TRUE,2250,3,5,99-59-2,168.1519928,-1.1264805
DTXSID00209692,FALSE,FALSE,720,3,4,6085-94-5,159.1920013,-0.655411254
DTXSID00209995,FALSE,TRUE,5001,4,5,611-94-9,212.2480011,-1.372213246
DTXSID00210223,TRUE,FALSE,5.012,1,2,6132-17-8,308.2799988,1.788934286
DTXSID0021040,FALSE,FALSE,336,2,4,932-83-2,128.1750031,-0.418535941
DTXSID00210703,FALSE,FALSE,310,2,4,617-79-8,101.1930008,-0.486211219
DTXSID0021094,FALSE,FALSE,725,3,4,101-80-4,200.2409973,-0.558785007
DTXSID0021121,FALSE,FALSE,938,3,4,834-28-6,241.7200012,-0.588890251
DTXSID0021123,FALSE,FALSE,150,2,3,57-30-7,254.220993,0.229120152
DTXSID00211694,FALSE,TRUE,8700,4,5,62637-93-8,111.1409988,-1.893644957
DTXSID0021171,FALSE,FALSE,1470,3,4,1955-45-9,100.1169968,-1.166809521
DTXSID0021179,FALSE,TRUE,3458,3,5,6673-35-4,266.3410034,-1.113386957
DTXSID0021202,FALSE,FALSE,1500,3,4,83-59-0,362.4219971,-0.61687671
DTXSID0021204,FALSE,FALSE,480,2,4,816-57-9,131.1349945,-0.563522635
DTXSID0021206,FALSE,TRUE,20000,4,5,57-55-6,76.09500122,-2.419673867
DTXSID0021254,FALSE,FALSE,1950,3,4,94-59-7,162.1880035,-1.080015883
DTXSID0021256,FALSE,TRUE,15600,4,5,599-79-1,398.3900146,-1.592816154
DTXSID0021333,FALSE,FALSE,425,2,4,97-74-5,208.36,-0.309574581
DTXSID00213350,TRUE,FALSE,24,1,2,63869-22-7,456.4899902,1.279220017
DTXSID0021337,FALSE,TRUE,2080,3,5,148-79-8,201.25,-1.014327446
DTXSID0021339,TRUE,FALSE,23,1,2,52-24-4,189.22,0.915239202
DTXSID00213390,FALSE,FALSE,179,2,3,63873-21-2,212.2400055,0.073974217
DTXSID00213496,FALSE,FALSE,1150,3,4,63887-17-2,221.2559967,-0.71580279
DTXSID0021381,FALSE,TRUE,9600,4,5,71-55-6,133.3999939,-1.857115423
DTXSID0021383,FALSE,TRUE,4920,3,5,79-01-6,131.3800049,-1.573435829
DTXSID0021385,FALSE,TRUE,2636,3,5,133-07-3,296.5499878,-0.948847495
DTXSID0021387,FALSE,FALSE,650,3,4,93-72-1,269.5,-0.382354587
DTXSID0021389,FALSE,FALSE,154.5,2,3,52-68-6,257.4299927,0.221730661
DTXSID00214029,FALSE,FALSE,1000,3,4,64037-07-6,213.0339966,-0.671551085
DTXSID0021410,FALSE,FALSE,840,3,4,6138-79-0,332.8699951,-0.402004636
DTXSID00214120,FALSE,FALSE,600,3,4,64047-34-3,303.1099854,-0.296551007
DTXSID0021414,FALSE,TRUE,37000,4,5,78-42-2,434.6419983,-1.930070035
DTXSID00214206,FALSE,TRUE,2180,3,5,64057-58-5,267.6300049,-0.910921692
DTXSID00214403,FALSE,TRUE,2300,3,5,642-44-4,195.2220001,-1.071199078
DTXSID00214468,FALSE,TRUE,5001,4,5,7/6/25,454.4379883,-1.041582226
DTXSID00215071,TRUE,FALSE,48.5,1,2,64748-15-8,292.6700134,0.780636489
DTXSID0021541,FALSE,FALSE,1800,3,4,74-87-3,50.49000168,-1.55206712
DTXSID0021545,FALSE,FALSE,800,3,4,598-78-7,108.5199966,-0.867580215
DTXSID0021547,FALSE,FALSE,100,2,3,78-95-5,92.51999664,-0.033764392
DTXSID0021597,FALSE,TRUE,3200,3,5,111-71-7,114.1880035,-1.447529498
DTXSID00216048,TRUE,FALSE,28,1,2,6587-23-1,265.0329895,0.976141904
DTXSID0021626,FALSE,FALSE,1020,3,4,536-60-7,150.220993,-0.831869543
DTXSID0021628,FALSE,FALSE,1165,3,4,78-98-8,72.06300354,-1.208613566
DTXSID00216280,TRUE,FALSE,1.234,1,1,6609-36-5,310.0299988,2.400088559
DTXSID00216285,FALSE,FALSE,91,2,3,6609-41-2,300.019989,0.518108798
DTXSID00216563,FALSE,FALSE,250,2,3,6635-73-0,211.3000031,-0.073040505
DTXSID0021672,FALSE,FALSE,250,2,3,545-06-2,144.3800049,-0.238432957
DTXSID0021751,FALSE,FALSE,153,2,3,75-89-8,100.0400009,-0.184517744
DTXSID0021755,FALSE,FALSE,710,3,4,77-74-7,102.177002,-0.841905193
DTXSID00217570,FALSE,TRUE,3550,3,5,67239-04-7,359.6260071,-0.994377262
DTXSID0021759,FALSE,TRUE,2460,3,5,78-83-1,74.1230011,-1.520982112
DTXSID0021830,FALSE,FALSE,1870,3,4,99-03-6,135.1660004,-1.140974144
DTXSID0021832,FALSE,FALSE,1650,3,4,99-97-8,135.2100067,-1.08647511
DTXSID0021834,FALSE,FALSE,170,2,3,100-02-7,139.1100006,-0.087090569
DTXSID00218502,FALSE,TRUE,11500,4,5,6837-93-0,473.4899902,-1.385387038
DTXSID00218582,FALSE,FALSE,887,3,4,68483-33-0,490.9400024,-0.256895199
DTXSID0021886,FALSE,FALSE,218,2,3,107-45-9,129.246994,-0.227036042
DTXSID00218860,FALSE,TRUE,15000,4,5,6873-46-7,255.4600067,-1.76876834
DTXSID0021888,FALSE,FALSE,1600,3,4,107-87-9,86.13400269,-1.268945353
DTXSID00218901,FALSE,FALSE,840,3,4,68787-95-1,281.3110046,-0.475092564
DTXSID00218941,FALSE,FALSE,160,2,3,6884-59-9,225.2440033,0.148533255
DTXSID00219059,FALSE,FALSE,1430,3,4,69002-84-2,312.1499939,-0.660972707
DTXSID0021915,FALSE,TRUE,14470,4,5,110-40-7,258.3580017,-1.748246614
DTXSID0021917,FALSE,TRUE,25000,4,5,110-54-3,86.1780014,-2.462543591
DTXSID00219332,FALSE,FALSE,439,2,4,69267-51-2,213.1920013,-0.313693614
DTXSID0021961,FALSE,FALSE,1900,3,4,119-61-9,182.2220001,-1.018152792
DTXSID0021963,FALSE,TRUE,6400,4,5,120-21-8,177.246994,-1.557601095
DTXSID0021965,FALSE,FALSE,756,3,4,120-82-1,181.4400024,-0.619788752
DTXSID0021969,FALSE,FALSE,1790.5,3,4,121-33-5,152.1490021,-1.070705217
DTXSID0022012,FALSE,FALSE,597,3,4,150-19-6,124.1389999,-0.682066089
DTXSID0022014,FALSE,TRUE,3600,3,5,150-78-7,138.1660004,-1.415901315
DTXSID0022016,FALSE,FALSE,1700,3,4,280-57-9,112.1760025,-1.180548962
DTXSID0022018,TRUE,FALSE,1.9,1,1,298-04-4,274.3900146,2.159614702
DTXSID0022062,FALSE,FALSE,148,2,3,563-80-4,86.13400269,-0.235087086
DTXSID0022068,FALSE,TRUE,2590,3,5,591-78-6,100.1610031,-1.412601099
DTXSID0022143,FALSE,FALSE,250,2,3,999-61-1,130.1430054,-0.283519177
DTXSID0022193,FALSE,TRUE,3980,3,5,2495-37-6,176.2149963,-1.353840207
DTXSID0022220,FALSE,FALSE,140,2,3,4901-51-3,231.8800049,0.219135265
DTXSID0022301,FALSE,FALSE,67,2,3,70124-77-5,451.4700012,0.828554095
DTXSID00223338,FALSE,TRUE,4700,3,5,7306-46-9,186.6399994,-1.401093134
DTXSID00223959,FALSE,TRUE,8550,4,5,73688-63-8,734.75,-1.06582652
DTXSID00223999,FALSE,TRUE,2160,3,5,73698-62-1,284.2430115,-0.880763955
DTXSID00224486,FALSE,FALSE,1500,3,4,73908-94-8,201.6699982,-0.871449965
DTXSID00225256,TRUE,FALSE,21,1,2,74252-25-8,433.8200073,1.315090283
DTXSID0022563,FALSE,TRUE,2400,3,5,54965-21-8,265.3299866,-0.956424907
DTXSID00225655,FALSE,FALSE,250,2,3,74680-56-1,242.1000061,-0.013945208
DTXSID0022569,TRUE,FALSE,0.34,1,1,41294-56-8,400.6470032,3.071282982
DTXSID00226268,FALSE,TRUE,5001,4,5,7531-52-4,114.1480026,-1.641588538
DTXSID0022690,FALSE,FALSE,359,2,4,10457-90-6,420.321991,0.068487664
DTXSID00227194,FALSE,FALSE,320,2,4,7633-57-0,148.1649933,-0.334404373
DTXSID0022800,FALSE,TRUE,10000,4,5,58-94-6,295.7099915,-1.529134001
DTXSID0022804,FALSE,FALSE,118,2,3,132-22-9,274.7900085,0.36711893
DTXSID0022806,FALSE,FALSE,250,2,3,461-78-9,183.6799927,-0.133878155
DTXSID0022808,FALSE,FALSE,142,2,3,50-53-3,318.8599854,0.351311677
DTXSID00228161,FALSE,FALSE,180,2,3,7745-91-7,186.052002,0.014361842
DTXSID0022852,FALSE,FALSE,1461,3,4,33671-46-4,318.8200073,-0.661104649
DTXSID0022854,FALSE,FALSE,1780,3,4,24166-13-0,349.2099915,-0.707333341
DTXSID0022931,FALSE,FALSE,149,2,3,28782-42-5,424.5440063,0.454736446
DTXSID0022933,TRUE,FALSE,23.75,1,2,71-63-6,764.9500122,1.507969442
DTXSID0022981,FALSE,FALSE,1900,3,4,38957-41-4,239.2749939,-0.899856287
DTXSID0022985,FALSE,FALSE,600,3,4,299-42-3,165.2359924,-0.560046597
DTXSID0023030,FALSE,TRUE,3509,3,5,40054-69-1,342.8500061,-1.010079207
DTXSID0023032,FALSE,TRUE,17000,4,5,54504-70-0,420.8500061,-1.606321584
DTXSID00230648,FALSE,FALSE,500,2,4,80834-49-7,413.9500122,-0.082022105
DTXSID0023084,FALSE,TRUE,2200,3,5,804-30-8,398.54,-0.741950764
DTXSID00230981,TRUE,FALSE,17,1,2,81250-17-1,262.3129883,1.188370874
DTXSID0023113,FALSE,FALSE,520,3,4,90-05-1,124.1389999,-0.622095101
DTXSID0023115,FALSE,FALSE,300,2,4,1113-10-6,154.2169952,-0.288989018
DTXSID0023117,FALSE,FALSE,475,2,4,113-00-8,59.0719986,-0.905311945
DTXSID00231498,FALSE,FALSE,353,2,4,81996-52-3,517.8800049,0.166454438
DTXSID0023167,FALSE,FALSE,1030,3,4,5587-89-3,597.9609985,-0.236164366
DTXSID00232046,FALSE,TRUE,6200,4,5,82875-38-5,278.3299866,-1.347831691
DTXSID0023242,FALSE,FALSE,1750,3,4,569-65-3,390.9599915,-0.650905732
DTXSID0023244,FALSE,TRUE,5001,4,5,6284-40-8,195.2149963,-1.408543678
DTXSID0023294,TRUE,FALSE,8.3,1,2,30685-43-9,794.9760132,1.981275933
DTXSID0023296,FALSE,FALSE,1180,3,4,61-73-4,319.8500061,-0.566935644
DTXSID0023371,FALSE,FALSE,1257,3,4,63675-72-9,388.4200134,-0.510033679
DTXSID0023373,FALSE,TRUE,15370,4,5,39562-70-4,360.3659973,-1.629930062
DTXSID0023375,FALSE,FALSE,60,2,3,302-70-5,208.5099945,0.540975626
DTXSID0023377,FALSE,FALSE,267,2,3,24526-64-5,238.3339996,-0.04932526
DTXSID0023402,FALSE,TRUE,2250,3,5,30286-75-0,412.3240051,-0.736943898
DTXSID00234500,FALSE,FALSE,720,3,4,853-34-9,322.3578186,-0.348994288
DTXSID0023458,FALSE,TRUE,2500,3,5,59-96-1,303.8299866,-0.915309374
DTXSID0023535,FALSE,FALSE,240,2,3,438-60-8,263.3840027,0.040378152
DTXSID0023537,FALSE,FALSE,660,3,4,90-82-4,165.2359924,-0.601439282
DTXSID0023581,FALSE,TRUE,4438,3,5,79902-63-9,418.5740051,-1.025415044
DTXSID00236125,FALSE,TRUE,8790,4,5,871-22-7,174.2804871,-1.70274011
DTXSID0023618,FALSE,FALSE,358,2,4,57-96-5,404.480011,0.053014037
DTXSID00236640,FALSE,FALSE,660,3,4,87798-87-6,551.4324341,-0.078051629
DTXSID0023666,FALSE,TRUE,3600,3,5,32527-55-2,355.8399963,-1.00504774
DTXSID00236766,FALSE,TRUE,2001,3,5,88045-98-1,337.3676147,-0.773143698
DTXSID00236822,FALSE,TRUE,2924,3,5,881-99-2,312.8353577,-0.970661536
DTXSID00237652,TRUE,FALSE,41,1,2,89426-90-4,202.133316,0.692854044
DTXSID00237657,TRUE,FALSE,7.372,1,2,89426-95-9,238.5694275,1.510029462
