Chemical Name,Chemical ID,CAS RN,Gene Symbol,Gene ID,Interaction,Interaction Actions,Reference Count,Organism Count
Arsenic,D001151,7440-38-2,AHCTF1,25909,Arsenic affects the expression of AHCTF1 mRNA,affects^expression,1,1
Arsenic,D001151,7440-38-2,AHCY,191,Arsenic results in increased expression of AHCY mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,AHCY,191,Arsenic results in increased expression of and results in increased activity of AHCY protein,increases^activity|increases^expression,1,1
Arsenic,D001151,7440-38-2,AHCY,191,[Arsenic results in increased expression of and results in increased activity of AHCY protein] which results in increased chemical synthesis of Homocysteine,increases^activity|increases^chemical synthesis|increases^expression,1,1
Arsenic,D001151,7440-38-2,AHCYL1,10768,Arsenic affects the methylation of AHCYL1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AHI1,54806,Arsenic affects the methylation of AHI1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AHRR,57491,Arsenic affects the methylation of AHRR gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AHSA2P,130872,Arsenic affects the methylation of AHSA2P gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AHSP,51327,Arsenic affects the methylation of AHSP gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AICDA,57379,Arsenic affects the methylation of AICDA gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AIM2,9447,[bafilomycin A1 co-treated with [sodium arsenite results in increased abundance of Arsenic]] results in increased expression of AIM2 protein,affects^cotreatment|increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,AIM2,9447,[sodium arsenite results in increased abundance of Arsenic] which results in decreased expression of AIM2 protein,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,AIP-1,179898,AIP-1 protein affects the susceptibility to Arsenic,affects^response to substance,1,1
Arsenic,D001151,7440-38-2,AIP-1,179898,Arsenic results in increased expression of AIP-1 mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,AIRE,326,Arsenic affects the expression of AIRE mRNA,affects^expression,1,1
Arsenic,D001151,7440-38-2,AIRE,326,[Arsenic results in increased abundance of Cacodylic Acid] which affects the expression of AIRE mRNA,affects^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,AKAP8,10270,Arsenic affects the methylation of AKAP8 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AKAP9,10142,Arsenic results in decreased expression of AKAP9 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,AKIRIN1,79647,Arsenic affects the methylation of AKIRIN1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AKNAD1,254268,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of AKNAD1 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,AKR1B10,57016,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of AKR1B10 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,AKR1B15,441282,Arsenic affects the methylation of AKR1B15 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AKR1B8,14187,Arsenic results in increased expression of AKR1B8 mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,AKR1C2,1646,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of AKR1C2 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,AKR1C3,8644,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of AKR1C3 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,AKR1C4,1109,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of AKR1C4 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,AKR1E2,83592,Arsenic affects the methylation of AKR1E2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AKR7A2P1,246182,Arsenic affects the methylation of AKR7A2P1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AKT1,207,Acetylcysteine inhibits the reaction [Arsenic analog results in increased phosphorylation of and affects the localization of AKT1 protein],affects^localization|decreases^reaction|increases^phosphorylation,1,1
Arsenic,D001151,7440-38-2,AKT1,207,Arsenic analog results in increased phosphorylation of AKT1 protein,increases^phosphorylation,1,1
Arsenic,D001151,7440-38-2,AKT3,10000,Arsenic affects the methylation of AKT3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALAD,210,[Arsenic co-treated with Cadmium] results in decreased activity of ALAD protein,affects^cotreatment|decreases^activity,1,1
Arsenic,D001151,7440-38-2,ALAD,210,[Arsenic co-treated with Lead co-treated with Cadmium] results in decreased activity of ALAD protein,affects^cotreatment|decreases^activity,1,1
Arsenic,D001151,7440-38-2,ALAD,210,[Arsenic co-treated with Lead] results in decreased activity of ALAD protein,affects^cotreatment|decreases^activity,2,1
Arsenic,D001151,7440-38-2,ALAD,210,Arsenic results in decreased activity of ALAD protein,decreases^activity,3,1
Arsenic,D001151,7440-38-2,ALAD,210,Arsenic results in decreased expression of ALAD protein,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ALAD,210,[Curcumin co-treated with Chitosan analog] inhibits the reaction [Arsenic results in decreased activity of ALAD protein],affects^cotreatment|decreases^activity|decreases^reaction,1,1
Arsenic,D001151,7440-38-2,ALAD,210,Curcumin inhibits the reaction [Arsenic results in decreased activity of ALAD protein],decreases^activity|decreases^reaction,1,1
Arsenic,D001151,7440-38-2,ALAD,210,Selenium inhibits the reaction [Arsenic results in decreased activity of ALAD protein],decreases^activity|decreases^reaction,1,1
Arsenic,D001151,7440-38-2,ALDH1A1,216,Arsenic results in increased expression of ALDH1A1 mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,ALDH1A3,220,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ALDH1A3 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ALDH1L2,160428,Arsenic affects the methylation of ALDH1L2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALDH3A1,218,Arsenic results in decreased expression of ALDH3A1 protein,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ALDH3B2,222,Arsenic affects the methylation of ALDH3B2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALDH3B2,222,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ALDH3B2 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ALDH4A1,8659,Arsenic affects the methylation of ALDH4A1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALDOA,226,Arsenic results in increased methylation of ALDOA promoter,increases^methylation,1,1
Arsenic,D001151,7440-38-2,ALG1,56052,Arsenic affects the methylation of ALG1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALG14,199857,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ALG14 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ALG9,79796,Arsenic affects the methylation of ALG9 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALK,238,Arsenic affects the methylation of ALK gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALKBH7,84266,Arsenic affects the methylation of ALKBH7 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALKBH8,91801,Arsenic affects the methylation of ALKBH8 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALLC,55821,Arsenic affects the methylation of ALLC gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ALOX12B,242,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ALOX12B mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ALOX5,240,Arsenic affects the expression of ALOX5 mRNA,affects^expression,1,1
Arsenic,D001151,7440-38-2,ALOXE3,59344,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ALOXE3 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ALPK3,57538,Arsenic affects the methylation of ALPK3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AMBRA1,55626,Arsenic affects the methylation of AMBRA1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AMDHD2,51005,Arsenic affects the methylation of AMDHD2 gene,affects^methylation,1,1
